row ID,row m/z,row retention time,T1F7.CDF Peak area,T1F8.CDF Peak area,T2F1.CDF Peak area,T2F2.CDF Peak area,T3F1.CDF Peak area
78,0,14.94,13839.09288,9935.214376,8199.446731,6946.990311,6433.520539
79,0,15.16,15685.37541,17221.76372,11833.57864,11048.91406,10918.12189
80,0,15.19,71324.3465,51515.78212,71313.37819,65888.02157,33953.65144
81,0,15.24,9655.261372,10878.23782,7463.916039,7883.650492,9832.927861
82,0,15.31,102364.6581,68576.32098,107500.2344,96594.21179,42211.55621
83,0,15.79,5700.411174,4986.83498,9377.219769,9577.480305,7486.767574
84,0,15.92,17607.00793,10930.82935,15546.13903,14338.03209,11083.16768
85,0,16.01,9267.124912,7855.135114,10239.90149,8989.162261,8548.984761
86,0,16.15,16554.10868,18347.3626,19892.10346,18269.80414,25926.7937
87,0,16.39,56148.65827,36307.95954,54409.08267,51114.66728,39545.73798
88,0,16.77,0,0,0.125907396,7485.792515,0
89,0,16.77,0,0,4470.083749,0,0
90,0,16.86,10761.53322,8372.520229,0,0,0
91,0,16.86,128.3438418,0,52.99327777,0,15251.99996
92,0,16.86,0,1071.901203,4206.15383,4363.428986,0
93,0,16.92,0,3802.782826,0,31433.17879,9966.656862
94,0,16.92,4990.728903,807.8051284,8341.322144,0,2083.627791
95,0,17.16,2948.50867,4332.595323,3322.375269,2936.117951,2524.891181
96,0,17.21,1369.173866,1653.203454,2007.82139,1458.628521,2061.405059
97,0,17.21,0,113.3498259,0,2693.918444,140.6278362
