"","Name","Class","rt.sd","rt","T1F7","T1F8","T2F1","T2F2","T3F1"
"1","Unknown 1","Unknown",7e-04,9.444,1598464,1263818,1523820,1272896,1207814
"2","Unknown 2","Unknown",0.004,13.793,553280,341130,486230,434183,202538
"3","Unknown 3","Unknown",0.0038,12.617,450560,255245,370515,279395,169259
"4","Unknown 4","Unknown",0.0029,13.686,197632,139922,181619,155516,90127
"5","Unknown 5","Unknown",0.0033,13.251,148480,97172,116763,115214,89668
"6","Unknown 6","Unknown",0.0046,14.539,80328,75823,85845,83501,62715
"7","Unknown 7","Unknown",0.003,13.125,61376,40538,47369,51894,41736
"8","Unknown 8","Unknown",0.0034,11.511,60624,45110,52441,44761,43984
"9","Unknown 9","Unknown",0.0046,13.071,47054,37348,70339,51384,32870
"10","Unknown 10","Unknown",0.0058,14.395,45664,38543,42146,44909,36300
"11","Unknown 11","Unknown",0.0046,11.232,27344,22937,19569,18406,0
"12","Unknown 12","Unknown",0.0027,14.479,26560,16440,21396,20338,18124
"13","Unknown 13","Unknown",0.0047,15.306,15391,0,15908,13629,0
"14","Unknown 14","Unknown",0.0047,11.416,11733,12554,10994,6667,13157
"15","Unknown 15","Unknown",0.0081,12.643,10001,0,9306,0,0
"16","Unknown 16","Unknown",0.0035,8.775,7289,5053,0,0,0
"17","Unknown 17","Unknown",0.0048,9.856,4453,5224,4839,2592,4363
"18","Unknown 18","Unknown",0.0056,13.498,3824,3164,0,3706,0
"19","Unknown 19","Unknown",0.0035,16.389,3777,0,3047,2145,2324
"20","Unknown 20","Unknown",0.0054,15.159,3001,2414,0,0,0
"21","Unknown 21","Unknown",0.0039,10.962,1937,2242,1795,0,2486
"22","Unknown 22","Unknown",0.003,9.709,2025,0,0,0,1872
"23","Unknown 23","Unknown",0.0099,10.136,1977,1372,1705,0,1223
"24","Unknown 24","Unknown",0.005,8.619,1847,1123,0,0,0
"25","Unknown 25","Unknown",0.0048,11.011,1223,0,1136,1241,0
"26","Unknown 26","Unknown",0.0043,15.915,1349,0,1387,0,0
"27","Unknown 27","Unknown",0.002,11.739,1245,988,1108,0,0
"28","Unknown 28","Unknown",0.0059,10.253,1241,1097,0,0,0
"29","Unknown 29","Unknown",0.0094,13.357,1000,450,0,731,0
"30","Unknown 30","Unknown",0.0031,15.181,0,16432,23375,22029,0
"31","Unknown 31","Unknown",0.005,13.931,0,6118,6106,6195,0
"32","Unknown 32","Unknown",0.0049,12.282,0,4574,4644,0,5713
"33","Unknown 33","Unknown",0.009,11.092,0,2959,0,0,2462
"34","Unknown 34","Unknown",0.0048,13.742,0,2478,0,2238,0
"35","Unknown 35","Unknown",0.0037,9.708,0,2215,1882,0,0
"36","Unknown 36","Unknown",0.0028,10.839,0,2171,0,0,2156
"37","Unknown 37","Unknown",0.0075,15.463,0,1912,0,0,1368
"38","Unknown 38","Unknown",0.0058,12.466,0,0,4081,2472,0
"39","Unknown 39","Unknown",0.0033,15.784,0,0,2292,2460,0
"40","Unknown 40","Unknown",0.0063,14.326,0,0,921,777,0
"41","Unknown 41","Unknown",0.0031,10.053,0,0,0,1390,888
"42","Unknown 42","Unknown",0.0026,16.924,0,0,0,1122,753
