"","Name","Class","rt.sd","rt","T1F7","T1F8","T2F1","T2F2","T3F1"
"1","Unknown 1","Unknown",0,9.444,1598464,1260572,1524636,1259978,1196800
"2","Unknown 2","Unknown",0.0024,13.793,553280,340963,490978,421016,202483
"3","Unknown 3","Unknown",0.0028,12.616,450560,258162,370451,286102,167909
"4","Unknown 4","Unknown",0.0019,13.25,148480,96838,106609,115270,89507
"5","Unknown 5","Unknown",0.0033,14.538,80328,75002,80573,85551,62373
"6","Unknown 6","Unknown",0.0028,11.511,60624,45155,52346,44767,44333
"7","Unknown 7","Unknown",0.0044,13.069,48480,33456,72661,52752,34271
"8","Unknown 8","Unknown",0.0081,14.394,45664,0,75819,0,0
"9","Unknown 9","Unknown",0,14.48,26560,17780,21431,20692,19327
"10","Unknown 10","Unknown",0,14.222,12495,7654,10059,9543,0
"11","Unknown 11","Unknown",0,13.06,12093,0,0,8034,0
"12","Unknown 12","Unknown",0.0045,11.417,14309,7960,11070,0,0
"13","Unknown 13","Unknown",0.004,9.858,4453,6622,5172,0,5676
"14","Unknown 14","Unknown",0.0036,12.348,0,11890,12241,6273,0
